Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,IWM,QQQ,IWM,QQQ,IWM,QQQ,IWM,QQQ,IWM,QQQ,IWM,QQQ
Date,,,,,,,,,,,,
2024-06-11,199.36575317382812,465.8703308105469,200.63999938964844,468.0199890136719,201.02000427246094,468.1400146484375,198.4199981689453,462.0299987792969,199.63999938964844,463.5400085449219,23768400,22053300
2024-06-12,202.4261932373047,471.97216796875,203.72000122070312,474.1499938964844,207.27000427246094,476.5,203.10000610351562,471.2900085449219,205.8699951171875,471.989990234375,43668700,34532600
2024-06-13,200.65750122070312,474.5303955078125,201.94000244140625,476.7200012207031,203.5399932861328,478.3900146484375,200.50999450683594,474.4200134277344,203.27000427246094,477.7200012207031,28021100,25859000
2024-06-14,197.46788024902344,476.9890441894531,198.72999572753906,479.19000244140625,200.0399932861328,479.260009765625,197.94000244140625,476.04998779296875,199.55999755859375,476.5199890136719,33453700,23372600
2024-06-17,199.1272735595703,482.83209228515625,200.39999389648438,485.05999755859375,200.9499969482422,486.8599853515625,197.41000366210938,478.1400146484375,198.1199951171875,479.4599914550781,25538100,37054500
2024-06-18,199.4750518798828,482.98138427734375,200.75,485.2099914550781,201.69000244140625,485.8999938964844,200.02999877929688,483.42999267578125,200.4600067138672,485.010009765625,25446900,24438600
2024-06-20,198.6304473876953,479.25860595703125,199.89999389648438,481.4700012207031,201.86000061035156,486.8399963378906,199.22000122070312,479.6199951171875,200.32000732421875,486.4200134277344,27999700,33918700
2024-06-21,199.0775909423828,477.9745178222656,200.35000610351562,480.17999267578125,200.41000366210938,482.5400085449219,198.4600067138672,478.6700134277344,199.92999267578125,481.19000244140625,37570300,39432900
2024-06-24,199.94207763671875,472.5329284667969,201.22000122070312,473.9599914550781,202.69000244140625,479.92999267578125,200.52999877929688,473.82000732421875,200.69000244140625,478.17999267578125,22289600,37751000
2024-06-25,199.2862548828125,477.9366149902344,200.55999755859375,479.3800048828125,201.16000366210938,479.67999267578125,199.82000732421875,475.1199951171875,201.1300048828125,476.07000732421875,16150600,29250200
2024-06-26,198.75961303710938,478.92364501953125,200.02999877929688,480.3699951171875,200.5800018310547,480.9200134277344,198.80999755859375,478.1300048828125,199.3300018310547,478.54998779296875,19313500,22737100
2024-06-27,200.7767333984375,480.1598815917969,202.05999755859375,481.6099853515625,202.14999389648438,483.1000061035156,199.9600067138672,479.29998779296875,200.6300048828125,480.1199951171875,17432600,26222100
2024-06-28,201.60147094726562,477.66741943359375,202.88999938964844,479.1099853515625,204.63999938964844,487.20001220703125,201.32000732421875,478.4599914550781,203.8800048828125,482.4100036621094,35026000,34881600
2024-07-01,199.91224670410156,480.468994140625,201.19000244140625,481.9200134277344,203.82000732421875,482.489990234375,200.47999572753906,476.260009765625,203.52000427246094,480.0400085449219,21886200,24898300
2024-07-02,200.59786987304688,485.5137634277344,201.8800048828125,486.9800109863281,202.27000427246094,487.0400085449219,200.89999389648438,480.2799987792969,201.52000427246094,480.4100036621094,17219100,26723600
2024-07-03,200.54818725585938,489.5615234375,201.8300018310547,491.0400085449219,203.27999877929688,491.1700134277344,201.6300048828125,486.2200012207031,202.25,486.2200012207031,15167200,18064900
2024-07-05,199.59426879882812,494.6661071777344,200.8699951171875,496.1600036621094,201.6300048828125,496.6000061035156,199.8800048828125,491.5899963378906,201.2100067138672,491.8900146484375,17282500,28495900
2024-07-08,200.99533081054688,495.842529296875,202.27999877929688,497.3399963378906,203.6999969482422,497.8999938964844,201.83999633789062,495.5,202.50999450683594,496.5299987792969,20823800,22109400
2024-07-09,200.1209259033203,496.271240234375,201.39999389648438,497.7699890136719,202.52000427246094,500.0,200.52999877929688,496.239990234375,201.9199981689453,498.8699951171875,17864200,25614500
2024-07-10,202.07839965820312,501.44561767578125,203.3699951171875,502.9599914550781,203.58999633789062,503.5199890136719,201.49000549316406,498.3900146484375,202.2899932861328,499.7099914550781,19286100,28046900
2024-07-11,209.34197998046875,490.4488220214844,210.67999267578125,491.92999267578125,211.22999572753906,503.2799987792969,206.94000244140625,490.7300109863281,207.89999389648438,503.07000732421875,65443600,49966600
2024-07-12,211.78636169433594,493.33013916015625,213.13999938964844,494.82000732421875,214.94000244140625,499.6199951171875,212.66000366210938,492.0400085449219,212.9199981689453,492.510009765625,50810700,37109400
2024-07-15,215.81063842773438,494.6561279296875,217.19000244140625,496.1499938964844,218.24000549316406,501.010009765625,214.3000030517578,494.0899963378906,214.7899932861328,496.6099853515625,48925300,31151400
2024-07-16,223.173583984375,494.8455505371094,224.60000610351562,496.3399963378906,224.86000061035156,498.44000244140625,219.02000427246094,493.1499938964844,219.13999938964844,497.6199951171875,67945700,25950600
2024-07-17,220.83851623535156,480.3194274902344,222.25,481.7699890136719,226.63999938964844,488.79998779296875,221.66000366210938,481.70001220703125,222.36000061035156,488.2799987792969,66092100,56268800
2024-07-18,216.56581115722656,478.0462646484375,217.9499969482422,479.489990234375,224.77999877929688,485.7099914550781,216.97999572753906,476.2699890136719,221.41000366210938,485.5299987792969,53180000,49347400
2024-07-19,215.46286010742188,473.8090515136719,216.83999633789062,475.239990234375,218.64999389648438,481.69000244140625,215.85000610351562,473.94000244140625,217.6300048828125,479.1499938964844,37933500,42042900
2024-07-22,218.8909454345703,480.8677673339844,220.2899932861328,482.32000732421875,220.64999389648438,483.3500061035156,215.3800048828125,477.7099914550781,217.67999267578125,481.1600036621094,36185900,40300000
2024-07-23,221.21609497070312,479.1728820800781,222.6300048828125,480.6199951171875,223.75,484.42999267578125,219.0399932861328,480.1400146484375,219.2100067138672,481.4100036621094,44884600,23282500
2024-07-24,216.46644592285156,461.98480224609375,217.85000610351562,463.3800048828125,223.86000061035156,474.19000244140625,217.72000122070312,462.510009765625,221.07000732421875,473.82000732421875,42443000,58818600
2024-07-25,219.169189453125,456.8901672363281,220.57000732421875,458.2699890136719,224.02000427246094,467.94000244140625,218.1999969482422,455.6300048828125,218.4499969482422,463.7200012207031,45053100,59256800
2024-07-26,222.79598999023438,461.5760498046875,224.22000122070312,462.9700012207031,225.38999938964844,465.92999267578125,221.6999969482422,459.7699890136719,223.89999389648438,462.6499938964844,40822600,39992100
2024-07-29,220.32180786132812,462.5032043457031,221.72999572753906,463.8999938964844,225.4199981689453,467.9100036621094,220.77000427246094,461.6199951171875,224.7100067138672,465.7099914550781,33869700,28218500
2024-07-30,221.15647888183594,456.1524353027344,222.57000732421875,457.5299987792969,224.4600067138672,466.55999755859375,221.11000061035156,454.1499938964844,222.72000122070312,465.8500061035156,26876800,41317200
